timestamp,content,source,sentiment
"Jun 5, 2021 @ 12:42:04.866","امروز تبلور سیره امام خمینی رحمت الله را در سالگرد رحلت ایشان شاهد بودیم که خلف صالح و امام امت در عصر حاضر برای آبروی مومن و حق مومن حاضر است صریح و شفاف جفا و ظلم در حق افراد را اعلام کند و دستور جبران بدهد این فقط سیره اولیا الهی است.
#ولی_صادق",twitter,pos
"Jun 5, 2021 @ 12:41:37.828","علاوه برجایگاه خاص و والای امام صادق(ع) به عنوان رییس مذهب تشیع، پیروان راستین مذهب جعفری که منتسب به امام صادق(ع) هستند به تمام ۱۲ امام معتقد و صد البته منتظر ظهور آخرین ذخیره و امید تمام معصومین علیهم‌السلام هستند.

#صادق_آل_محمد

#ImamSadiq",twitter,pos
"Jun 5, 2021 @ 12:40:48.806","سرزمینی که رهبرش در خانۀ ساده زندگی می کرد و پس از مرگش مقبرۀ باشکوهی برایش ساختند چه نام دارد و نام آن رهبر چه بود؟(2نمره)
الف. مصر ، فرعون (رامسس دوم)
ب. ایران ، خمینی
ج. الف و ب صحیح است
د . 😳",twitter,neu
"Jun 5, 2021 @ 12:39:48.914","در ضمن تندرویها،اشتباهات احمقانه،و خودزنی های رژیم در عرصه بین الملل هم در سقوطش بی تاثیر نیست و واکنشهای جهانی را برانگیخته،روی این مطلب هم غیر از جنبشهای مردمی حساب کنید",twitter,neg
"Jun 5, 2021 @ 12:39:27.672","انتخابات باید سالم و رقابتی باشد، رقابت غیر از خصومت و تهمت‌زنیِ متقابل است؛ اینها را باید همه مواظب باشیم.۱۳۹۰/۱۰/۱۹،،،
#منتظر_انتخاباتیم",twitter,neu
"Jun 5, 2021 @ 12:39:06.817","برنامه گفتگوی 22:30شبکه دو رییسی و زاکانی رو نیگاه کنید،، معلوم میشه چه کسی این ویژگیهای رو که فرمودید دارند،، خیلیا چشم و گوش بسته از قبل آقای فلانی رو انتخاب کردن،، فقط به خاطر بوق چی بازی های یه عده،، دلایلتون اصلا منطقی و قانع کننده نیست",twitter,neg
"Jun 5, 2021 @ 12:38:06.469","سالها پیش گربه نر گنده بچه گربه حیاط ما رو زد و شکمش رو پاره کرد و کشت ولی این یکی نه میزنه و نه میکشه، عملا ترتیب بچه رو میده. منظور اینه که کشتن یه جور دیگه اتفاق میافته.",twitter,neg
"Jun 5, 2021 @ 12:37:51.642","برم نون بربری بگیرم بیام اشپزی کنم این دنیا قراره همینقدر چرک بمونه",twitter,neg
"Jun 5, 2021 @ 12:37:26.848","به کسی که باهاش سلام علیک داری
رفیق یه عالم دیگست که خداشم فرق داره
بالاترازرفیق برای ماتدکا یولداش هستش
که باید براش سرداد
بالاتر از اون قارداش هستش",twitter,pos
"Jun 5, 2021 @ 12:36:35.474","خسیس 
از از لجیت میرم کفتر میخرم😎",twitter,neg
"Jun 5, 2021 @ 12:36:20.266","قابل توجه اون کسانی که میگن آقای رئیسی سابقه اجرائی نداره !!
قسمتی از حکم انتصاب رهبری برای ریاست آیت الله رئیسی:
شما که ((#کارآمدی خود را در مقاطع گوناگون خدمت نشان داده‌اید))",twitter,pos
"Jun 5, 2021 @ 12:34:05.175","هرچی بتلفیلد اومده این اواخر رفتم سمتش غیر از نسخه وی
کلا وارد مولتی بتلفیلد بشی یکی از درهای بهشت برات باز شده😋",twitter,pos
"Jun 5, 2021 @ 12:32:53.047","قبلا پاتوقان برادران عرزشی پیچ تاجزاده و زیبا کلام بود چند روز هست که اضافه کاری گرفته اند و مهرعلیزاده و همتی هم به آن اضافه شده اند",twitter,neu
"Jun 5, 2021 @ 12:32:36.306","دقیقا مث صحنه های جنگی فیلماس که تو جنگل میگیرن *_*",twitter,neu
"Jun 5, 2021 @ 11:45:32.144","بله دیگه بااین اتفاق مبارک قطعا دولت پیر انقلابی هم برای مردم ناکارآمد خواهد بود😏 آقای #رئیسی فرموده بودن مستقل تشریف فرماشدن ولی گویا بایدبه مافیای سیاسی پست و مقام اهدا کنند.خدا لعنت کنه بی صلاحیت‌هایی رو که صلاحیت #سعید_محمد رو تأیید نکردن😏تا باشه #امید_دانا که ما روشنگربشیم",twitter,neg
"Jun 5, 2021 @ 11:44:58.649","بله ایراد اساسی دی با هم خانما ظلم اولور هم اقا ولی والله کبین چوخ ظلم دی چوخ",twitter,neg
"Jun 5, 2021 @ 11:44:04.146","حاجی حالا تو اصل موضوع رو بچسب 😂",twitter,neu
"Jun 5, 2021 @ 11:43:55.390","تو چرسی نقش شاه شجاع را بازی کردی",twitter,neu
"Jun 5, 2021 @ 11:43:29.891","مادران جنده کوس گشاد مردم کونیبایجان جندهخانه همه جنده صادراتی هستند😂اصلا جندهبایجان در طاریخ کوس گشاد و چرب و آبداری هست که تمام اقوام آسیا کیرشونو کردن توش و آبشونو پاشیدن داخلش😂نسل معلول و زنازاده طررررچ بوجود اومده با زبان ناقص و الکن و پر از گوه طررررچی😂🐷 دونقوزبایجان🐷",twitter,neg
"Jun 5, 2021 @ 11:43:03.133","از هر دو ممنون بخاطر توضیح دقیق و بادقت و پرجزئیاتِ نقطه‌نظرتون 🙏🌹",twitter,pos
"Jun 5, 2021 @ 11:42:28.098","هیچ چیز خطرناکتر از این نیست که جامعه ای بسازیم که در آن بیشتر مردم حس کنند که هیچ سهمی در آن ندارند.
مردمی که حس میکنند سهمی در جامعه دارند از آن جامعه محافظت می کنند، ولی اگر چنین احساسی نداشته باشند، نا خودآگاه میخواهند که آن جامعه را نابود کنند.

#مارتین_لوتر_کینگ",twitter,neg
"Jun 5, 2021 @ 11:42:01.352","#StopHazaraGenocide
تلاش برای حمایت از مردم مان در راستای رسیدن به حق و حقوق انسانی",twitter,neu
"Jun 5, 2021 @ 11:41:55.409","از اونجایی که ارزشیابی، فرصت دانشجو برای انتقام از استاده، مین بی هیچ کیدیمیتین بیست نیمیدیم",twitter,neg
"Jun 5, 2021 @ 11:41:42.019","دیگه تو سرد ترین و بیخیال ترین حالت ممکنم😶",twitter,neg
"Jun 5, 2021 @ 11:41:41.979","سلام دوستان کسی در مورد این عکس نظری داره؟؟ خیلی خوشکله. رفته بودم کوهنوردی به یه صخره عجیب رسیدم. شکل یه شتر هست.",twitter,pos
"Jun 5, 2021 @ 11:41:12.218","نمیدونم چطوری اشتباه شده یا تو تگ اشتباه گذاشتی یا من اشتباهی به جای اون تو رو بلاک کردم☹🤦🏻‍♂️",twitter,neg
"Jun 5, 2021 @ 11:41:11.743","توی جمله ای که یکی میگه کلوز فرند قطعا طرف مقابل حالا فکرنمیکنه داره میگه دوست بسته.بیخیال",twitter,neu
"Jun 5, 2021 @ 01:06:03.587","اول اینکه آدم سالم مزاحمت رو از پیشنهاد تشخیص میده، بعد اینکه آدم سالم توی جمع یکی رو خراب نمیکنه، پس تا اینجا رسیدیم به اینکه مشکل اوشون بوده
یه احتمالی هست که شما یا من نوعی درست پیشنهاد دادن رو بلد نیستیم که متاسفانه بخاطر فرهنگ‌ما خیلی زیاده ولی باید درستش کنیم",twitter,neu
"Jun 5, 2021 @ 01:05:56.009","زاکانی دغل باز اصلاحات سبز و بنفش که مردم ایران فریب می دهد، بیاد اسم سه برادر بگوید، در مقامات اول کشوری که سه برادر نداریم که اینقدر قدرت داشته باشند که زاکانی بترسد اعلام کند",twitter,neg
"Jun 5, 2021 @ 01:05:08.906","عزیییز دلمممم ، من این روزا مهمون دارم هر وقت رفت چشم",twitter,pos
"Jun 5, 2021 @ 01:05:06.706","قضیه رو سیاسی نکن
فیلمباز بودن به دیدن سینمایی‌ها و سریال های ترند نیست
فیلمباز بودن یعنی تو هیچکاک دیده باشی
کاپولا دیده باشی
کوبریک دیده باشی
اسپیلبرگ و لینچ دیده باشی
و بیای به خودت بگی فیلمباز و مدعی شی و نظر بدی
نه با یه تامی شلبی دیدن...",twitter,neg
"Jun 5, 2021 @ 01:04:54.156","انشالله به آرزوهاش نرسه
به هر چی صلاحشه برسه😁",twitter,pos
"Jun 5, 2021 @ 01:04:51.292","پس مشکل از توییت من نبود، شما خودتون نخواستین پوینتشو بگیرین.🌌",twitter,neg
"Jun 4, 2021 @ 18:51:07.420","مبارکه فقط سر پول گرفتن کوتاه نیا بامبول زیاد درمیارن.پیش بگیر نصفشو آخر کارم یه تیکه از کارشو انجام نده تا تصفیه کنه.",twitter,neu
"Jun 4, 2021 @ 18:50:11.133","اها😂😂🤦‍♀️🚶‍♀️
دیشب اولش همه تو فاز جیکوک بودن
یه هو اومدم دیدم ملت دارن صلوات میفرستن😐😂💔",twitter,neu
"Jun 4, 2021 @ 18:50:03.463","مصطفی پورمحمدی، دبیر عالی جامعه روحانیت مبارز، گفت سخنان رهبر جمهوری اسلامی «غم نهفته سالیان بود که در جریان رد و تایید صلاحیت‌ها و حواشی و شایعات قبل و بعد آن، به بسیاری ظلم شده است»",twitter,neu
"Jun 4, 2021 @ 18:49:58.105","بمب اتم نمی‌خواهیم شما را با یک بند انگشت شکست میدهیم!!!
 #رای_میدهم
#ما_منتظر_انتخاباتیم",twitter,neg
"Jun 4, 2021 @ 18:49:57.926","طفل این حیوونیم از قیافش معلومه تو حالت خایه موده
انگار کونش گذاشتن ولی گفتن جلو دوربین بخند😭",twitter,neg
"Jun 4, 2021 @ 18:49:44.021","جدا اگه رومون کراش دارید بگید تو دایرکت دیگه
تو ناشناس یهو میگید روت کراش دارم خب چه فرقی میکنه
چیز بدی نیست ک",twitter,neu
"Jun 4, 2021 @ 18:49:38.296","رای من سرنگونی

بخاطر۱۵۰۰ کشته #آبان_٩٨ 
بخاطر بازداشت شدگان
بخاطر ۱۷۶ کشته #هواپیمای_اوکراینی 
بخاطر کشتار سوختبران #بلوچ
بخاطر جوانان بیکار
بخاطر سرکوب زنان 
نه به انتخابات 
بر همه دیوارها فریاد می زنیم 
👊#راى_من_سرنگونى",twitter,neg
"Jun 4, 2021 @ 18:49:23.318","اگه منظورت از نظم فعلی، صرفا تو بعد آموزش جنسیه(و نه کلا اخلاق جنسی)، پس تنها مشکل من از نظم فعلی یکی خالی بودن جای دگرباشان جنسی و دیگری هم زیادی راحت در دسترس بودن پورن هاست.اما هیچ مشکلی تو مایه های ""پایین اورن سن و زودتر پرداختن به ماجرا""(نسبت به وضع فعلی غرب، نه ایران) ندارم",twitter,neu
"Jun 4, 2021 @ 18:49:12.570","ارتحال حضرت امام خمینی (ره) و قیام خونین ۱۵ خرداد را به عموم ملت عزیز ایران تسلیت عرض می نمائیم.",twitter,neg
"Jun 4, 2021 @ 18:49:09.695","احسنت!!! درود بر شما....من هم در اینستا و توئیتر و واتساپ و در کامنتهای مختلف از حمایتم و اصلح بودن سردار نخبهٔ و انقلابی و جوان دکتر#سعیدمحمد کوتاه نیامدم.",twitter,pos
"Jun 4, 2021 @ 18:49:09.078","وای قلبم گرفت از نهایت بی ادبی این آدم . چطور میتونه ؟",twitter,neg
"Jun 4, 2021 @ 18:49:08.426","الان پهپادی مثل کمان ۲۲ و شاهد ۱۲۹ و مهاجر ۶ که اصلا نمیتونند بمب یاسین حمل کنند البته کمان ۲۲ شاید بتونه یدونه زیر بدنه حمل کنه",twitter,neu
"Jun 4, 2021 @ 18:49:04.990","نه اینکه متوجه نشن 
منفعتشون تو اینه ک اینجوری متوجه بشن",twitter,neu
"Jun 4, 2021 @ 18:49:04.830","کاری به دولت ندارم اما ما دانشمندان بزرگی رو داریم نظر شخصیم اینه که واکسن ایرانی یکی از بهترین واکسن هاست
به آمریکا مهاجرت میکند تا واکسن فیرز بزند",twitter,neu
"Jun 4, 2021 @ 18:48:56.134","اسم درستش اعتماد به نفس هستش فکر میکنم",twitter,neu
"Jun 4, 2021 @ 18:48:49.265","استثمار طبقه کارگر بنا بشه (مثلا به این دلیل که افرادی از حزب لیبرال رای آوردند)
مسلما دولت سوسیالیستی تمام تلاشش رو میکنه که سرنگون نشه (این تلاش شامل سرکوب و ارتش کشیدن در مقابل مردم نمیشه) اما اگر نتونه اکثریت مردم رو راضی کنه، بله کناره گیری میکنه یا به اصطلاح به مناطق",twitter,neg
"Jun 4, 2021 @ 18:12:12.192","سلام, آقای میثم، متاسفانه ایشان همیشه چند پهلو حرف میزنند و صراحت کلامی ندارند ، در نتیجه حله معادله چند مجهولی 
نیازمنده آشنایی به مسائل پشت پرده دارد",twitter,neu
"Jun 4, 2021 @ 18:12:07.575","این مودی بودن خیلی منو اذیت کرده. یبار واقعا دو ما کار نکردم :|
البته هیچوقت یادم نمیاد بدقولی کرده باشم تو هیچ کاری. شاید ساعت کاریم منظم نباشه خیلی ولی ددلاین هارو میرسم بهشون همیشه",twitter,neu
"Jun 4, 2021 @ 18:12:01.808","چیزی که واسه شما آرزوئه واسه ما خاطره س ^_____^",twitter,pos
"Jun 4, 2021 @ 18:11:59.012","من در انتخابات شرکت میکنم چون من از زیر بار مسئولیت انتخاب کردن فرار نمیکنم. 
#ایران_همدل
#انتخابات۱۴۰۰",twitter,pos
"Jun 4, 2021 @ 18:11:53.877","وای گوش بده خیلی خوبه🥺 میگه:
امروز که محتاج توام جای تو خالیست
فردا که می آیی به سراغم نفسی نیست
بر من نفسی نیست ، نفسی نیست
در خانه کسی نیست نکن امروز را فردا
بیا با ما که فردایی نمی ماند که از تقدیر و فال ما
در این دنیا کسی چیزی نمی داند...",twitter,pos
"Jun 4, 2021 @ 18:11:45.302","به نظرم نویسنده اون توییت کوسه ست:))))",twitter,neu
"Jun 4, 2021 @ 18:11:45.276","آقای قلهکی! 
۷+۱ که نمی‌شود؛ می‌شود؟!

 
#انتخابات 
#انتخابات۱۴۰۰ 
#انتخابات_۱۴۰۰",twitter,neu
"Jun 4, 2021 @ 18:11:10.386","با چه جزییاتی هم عزیزان بازی رو نگاه کردند. خوووووب دیگه تعریف کنید 😂😂",twitter,neu
"Jun 4, 2021 @ 18:11:05.602","اونا دیگ تو خود کوره هستن😂😂مام زیر باد کولر عرق میریزیم",twitter,neu
"Jun 4, 2021 @ 18:11:04.490","مُردم از درد و به گوشِ تو فغانم نرسید
جان ز کف رفت و به لب راز نهانم نرسید
گرچه افروختم و سوختم و دود شدم
شِکوه از دست تو هرگز به زبانم نرسید",twitter,pos
"Jun 4, 2021 @ 18:11:00.745","#ما_منتظر_انتخاباتیم
#رای_میدهم 
راه کسانی را که علم ندارند پیروی نکن!",twitter,neg
"Jun 4, 2021 @ 18:10:58.206","روبه هیچ کس نکنم زِطلب تو جز حق
مهر تو را به دل ما انداخته‌ همان‌حق",twitter,pos
"Jun 4, 2021 @ 18:10:55.277","یه وقتام لج میکنم بعدش مهربون میشم که بفهمونم بله، کت تن منه نه شما",twitter,neu
"Jun 4, 2021 @ 18:10:52.408","اگه بگن و آخرش نتونن ثابت کنند 
یه ملت رو طلب کار کردن
روش فعلی نهایت به اون که اشتباه کردن باید پاسخگو باشند",twitter,neg
"Jun 4, 2021 @ 18:10:37.651","با جفتتونم 🤦🏻‍♀️😅",twitter,neu
"Jun 4, 2021 @ 18:10:32.533","از وقتی من اول احوال پرسی نکردم دیگه خیلیا رو ندیدم",twitter,neu
"Jun 4, 2021 @ 18:10:29.956","دور فلکی یکسره بر مَنهَج عدل است
خوش باش که ظالم نَبرد بار به منزل
#مطالبه_اول_تعویق_کنکور_سراسری_1400#سلسله_مراتب_آزمون_های_ملی_رعایت_شود#نه_به_تبعیض_علیه_کنکور_سراسری",twitter,neu
"Jun 4, 2021 @ 18:10:28.010","عدالت و تقوای عجیب و مثال زدنی رهبری در غبار گمانه زنیها گم نشود فقط یک حاکم صالح و عادل اینچنین از حقوق دیگران دفاع میکند",twitter,pos
"Jun 4, 2021 @ 18:10:27.001","با گدایی معروف شد🙂🙂من خوب یادمه",twitter,neu
"Jun 4, 2021 @ 18:10:12.960","یک دفعه خود ایشون توی یک انتخابات شرکت نکردن! برای اینکه شرکت نکنن! رفتن توی یک دهاتی که اصلا انتخابات شورا نداشت! تا چند ده کیلومتری هم خبری از انتخابات نبود! از اول انتخابات تا آخرش هم همونجا موندن! آدم باید خودش تشخیص بده! چه بسا!!!!",twitter,neu
"Jun 4, 2021 @ 18:10:07.163","انشالله که هرچه زودتر بیت از لوس وجود امثال ایشان پاک گردد.",twitter,neg
"Jun 4, 2021 @ 18:10:05.351","اونا که برگردن نان این آجر میشه که ۔الکی میگه",twitter,neu
"Jun 4, 2021 @ 18:09:56.805","پسر عجب پوئن مثبتی.کمرمون رگ به رگ شد.دیگه چی میخوایم....",twitter,pos
"Jun 4, 2021 @ 18:09:40.429","دیدمش.
دقیقا مواردی که می‌گفت رو بچه‌ها هم بم گفته بودن 😬
البته یه مورد اضافه رو گفت که جالب بود برام. اونم آسیب رسیدن به گردن و دست تو پن‌دیسپلی ‌هاس که اینو دقت نکرده بودم تا حالا 😬",twitter,neu
"Jun 4, 2021 @ 18:09:39.302","دوستم خودکشی کرده لعنت به ایلان ماسک",twitter,neg
"Jun 4, 2021 @ 18:09:27.190","عدالت با برابری فرق داره",twitter,neu
"Jun 4, 2021 @ 18:09:14.493","کتابه رو نخوندم ولی یه چیزایی در موردش شنیدم،اینکه سوفی موهاش قرمزه و چشماش سبز آبیه،و یه خواهر داشته که گمش کرده و چند تا دیگه هم بود که الان یادم نیست",twitter,neu
"Jun 4, 2021 @ 18:09:13.838","از لو رفتن ایمیل‌های فائوچی و پرده‌برداری از پروژه‌ی آیدی‌های دیجیتال توسط اتحادیه اروپا و مشارکت کمپانی GAVI که کارش تو واکسنه و مایکروسافت توی این پروژه، و تهدید چین به جنگ هسته‌ای اگه آمریکا بخواد تحقیقاتی درمورد آزمایشگاهی بودن کرونا بکنه میشه ۷۶۳ تا تئوری توطئه درآورد.",twitter,neu
"Jun 4, 2021 @ 18:09:07.634","نه اس ام‌ اس واریزی ، نه بساط لهو و‌لعبی ،نه مسافرت برنامه ریزی نشده ای ، نه نامه ای که پست برامون بیاره...
دلمونو به چی این زندگی خوش کنیم...",twitter,neg
"Jun 4, 2021 @ 18:08:50.891","گلی جون بیا ببین؛ یخ زده باغت
گلی؛ هیچ گلی نذاشتم تو اتاقت…
کاش بیام تو خوابت
گلی روی دلم نمونه داغت!
گلی ببین اینجا برفه؛ گلی پشت سرت خیلی حرفه!",twitter,neu
"Jun 4, 2021 @ 18:08:39.806","خب تو که فیلم رو میذاری، نمیخوای توضیح بدی چی شده در مورد چی بوده اصلا؟ لالی؟ فقط فیلم رو میخوای منتشر کنی . کی میخوایید یاد بگیرید این چیزا رو؟",twitter,neg
"Jun 4, 2021 @ 18:08:26.793","رهبر معظم انقلاب اسلامی: در قرآن کریم و در روایات، درباره مسئولیت مردم نسبت به سرنوشت جامعه مطالب روشن و فراوانی وجود دارد.
مردم بایستی کمک کنند که در کشور حکومت حق برپا شود
#منتظر_انتخاباتیم 
#من_رأی_میدهم",twitter,pos
"Jun 4, 2021 @ 18:08:10.335","واقعا خنده داره که یه سری دلیل حرکت بازار رو یه شخص یا اشخاصی مثل ایلان ماسک میدونن
اگه این حرف ها رو از یه تازه وارد هم میشنیدیم جای تعجب نداشت
ولی عرض کنم خدمتتون که این حرکت نزولی کاملا دلیل تکنیکالی داشت و خیلی راحت میشد تشخیصش داد",twitter,neg
"Jun 4, 2021 @ 18:08:05.838","به بیکاری خودت ادامه بده😂",twitter,neu
"Jun 4, 2021 @ 18:08:04.153","در صورتی که ایشون کص میکشه",twitter,neu
"Jun 4, 2021 @ 18:07:57.467","😂  بازم اینو از تو انباری در آوردین؟",twitter,neu
"Jun 4, 2021 @ 18:07:56.775","خب پولشونو بده که بهت توجه کنن 😊",twitter,neu
"Jun 4, 2021 @ 18:07:52.567","انشالله که قبلش سلامت بودن و الان هم سلامت برمیگردن 
داستانیه بعد هر تعطیلات هم تهران هم شهرای شمالی وضعیت قرمز میشه 
امید است که اینبار نشه",twitter,pos
"Jun 4, 2021 @ 18:07:51.315","مادربزرگم که معده درد میگرفت میگفت ننه انگار یه ذغال داغ گذاشتن سر معده‌م.منم از صبح تاحالا یه ذغال داغ گذاشتن سر معده‌م",twitter,neg
"Jun 4, 2021 @ 18:07:38.075","اکانتم داره به فنا میره🤧😂",twitter,neg
"Jun 4, 2021 @ 18:07:14.219","شاید هم از ابتدا قضیه همین گناه مردم در فضای مجازی بود",twitter,neu
"Jun 4, 2021 @ 18:07:05.085","میشه حداقل براش تلاش کرد، هم برای اگاهیِ بقیه و هم تغییر قانون =)",twitter,pos
"Jun 4, 2021 @ 18:06:59.314","نباید به روم میاوردی🥲💔",twitter,neg
"Jun 4, 2021 @ 18:06:47.481","نمیشه همون دوستی معمولی‌هم از دست میدی 🙂 حداقل واس من ریسک سنگینیه .",twitter,neg
"Jun 4, 2021 @ 18:06:40.303","چجوری تو دستشویی میشه کتاب خوند آخه 
کتاب بوی عن میگیره 😂",twitter,neu
"Jun 4, 2021 @ 18:06:37.559","آب بازی تو گرما خیلی حال میده",twitter,pos
"Jun 4, 2021 @ 18:06:19.440","از این زاویه با لباسهای آغشته به رنگ خوندم 😅",twitter,neu
"Jun 4, 2021 @ 18:06:13.593","منم پسر دوست بابامهههه
😂😂😂😂😂😂😂
ممنونم از‌کرونا تا حد زیادیییی رفتو امد کم شده کمتر به خودم فوش میدم😂",twitter,pos
"Jun 4, 2021 @ 18:05:59.409","کسایی که رای نمیدن فیو بزنن
کسایی که مخالف رژیمن ریت بزنن
کسایی که رای میدن منشن بدن بلاکشون کنم",twitter,neu
"Jun 4, 2021 @ 18:05:58.925","وقتی کسی توئیت میزنه اما جوابش بیشتر از خودش لایک میگیره چی میگن بهش؟!",twitter,neu
